ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID	SPOT_ID.1
TC0500011702.hg.1	1.03e-01	1.76e-02	2.8514123	-3.950105	0.36202059	Multiple_Complex	Multiple_Complex
TC1000007878.hg.1	1.03e-01	1.76e-02	-2.8513844	-3.950152	-0.26540393	Multiple_Complex	Multiple_Complex
TC0500010491.hg.1	1.03e-01	1.76e-02	2.8509408	-3.950905	0.42955988	Multiple_Complex	Multiple_Complex
TC1500008312.hg.1	1.03e-01	1.76e-02	-2.8507266	-3.951269	-0.29434489	Multiple_Complex	Multiple_Complex
TC0600009143.hg.1	1.03e-01	1.76e-02	2.8505882	-3.951504	0.37823813	Multiple_Complex	Multiple_Complex
23070209	1.03e-01	1.76e-02	-2.850274	-3.952037	-0.46613404		
TC0900009173.hg.1	1.03e-01	1.77e-02	2.8498244	-3.9528	0.29748931	Multiple_Complex	Multiple_Complex
TC1700011430.hg.1	1.03e-01	1.77e-02	-2.8496693	-3.953063	-0.5978435	Multiple_Complex	Multiple_Complex
TC0100015180.hg.1	1.03e-01	1.77e-02	-2.8496342	-3.953123	-0.36356681	Multiple_Complex	Multiple_Complex
TC0100009651.hg.1	1.03e-01	1.77e-02	-2.848684	-3.954736	-0.42420196	Coding	Coding
TC0300010999.hg.1	1.03e-01	1.77e-02	-2.8482081	-3.955543	-0.29457276	Multiple_Complex	Multiple_Complex
HTA2-pos-3090546_st	1.03e-01	1.77e-02	-2.84804	-3.955829	-0.40865313	---	---
23074046	1.03e-01	1.77e-02	2.8480386	-3.955831	0.24292377		
TC1500009492.hg.1	1.03e-01	1.77e-02	2.8478993	-3.956067	0.32284032	Multiple_Complex	Multiple_Complex
TC1900011747.hg.1	1.03e-01	1.77e-02	2.8473392	-3.957018	0.41573281	Multiple_Complex	Multiple_Complex
TC1000010239.hg.1	1.03e-01	1.77e-02	2.8472304	-3.957203	0.23383799	Multiple_Complex	Multiple_Complex
TC2000007923.hg.1	1.03e-01	1.78e-02	2.8461302	-3.95907	0.43669856	Multiple_Complex	Multiple_Complex
TC0100006497.hg.1	1.03e-01	1.78e-02	-2.845946	-3.959382	-0.64599982	Multiple_Complex	Multiple_Complex
HTA2-pos-PSR19006631.hg.1	1.03e-01	1.78e-02	2.8458196	-3.959597	0.28406292	---	---
TC1200012202.hg.1	1.03e-01	1.78e-02	2.8453231	-3.960439	0.25750983	Multiple_Complex	Multiple_Complex
TC0800009656.hg.1	1.03e-01	1.78e-02	2.844932	-3.961103	0.32027857	Multiple_Complex	Multiple_Complex
TC0400012880.hg.1	1.04e-01	1.78e-02	2.8436059	-3.963353	0.50568157	Multiple_Complex	Multiple_Complex
TC1900011925.hg.1	1.04e-01	1.79e-02	2.8430339	-3.964324	0.72021717	NonCoding	NonCoding
HTA2-pos-PSR01065864.hg.1	1.04e-01	1.79e-02	2.842505	-3.965222	0.35827988	---	---
TC1900006834.hg.1	1.04e-01	1.79e-02	2.8422667	-3.965626	0.32075383	Coding	Coding
TC0100015894.hg.1	1.04e-01	1.79e-02	2.8422526	-3.96565	0.2399314	Multiple_Complex	Multiple_Complex
HTA2-pos-PSR16021752.hg.1	1.04e-01	1.79e-02	2.8419507	-3.966162	0.28866249	---	---
TC0300014081.hg.1	1.04e-01	1.79e-02	-2.8419248	-3.966206	-0.27267544	Multiple_Complex	Multiple_Complex
TC0600009851.hg.1	1.04e-01	1.79e-02	2.8418593	-3.966317	0.2527409	Multiple_Complex	Multiple_Complex
TC0600011808.hg.1	1.04e-01	1.79e-02	-2.8414221	-3.967059	-0.31844662	Multiple_Complex	Multiple_Complex
TC1100009983.hg.1	1.04e-01	1.79e-02	2.8412385	-3.967371	0.3022402	Multiple_Complex	Multiple_Complex
23070156	1.04e-01	1.79e-02	2.8412155	-3.96741	0.43743563		
TC0100018265.hg.1	1.04e-01	1.79e-02	-2.8407867	-3.968137	-0.37936619	Multiple_Complex	Multiple_Complex
TC0100008183.hg.1	1.04e-01	1.79e-02	2.8405655	-3.968512	0.36121644	Multiple_Complex	Multiple_Complex
TC1900007917.hg.1	1.04e-01	1.79e-02	2.8405472	-3.968544	0.22401479	Multiple_Complex	Multiple_Complex
TC1200008176.hg.1	1.04e-01	1.79e-02	2.8405431	-3.968551	0.32151463	Multiple_Complex	Multiple_Complex
HTA2-neg-47422334_st	1.04e-01	1.79e-02	2.8405406	-3.968555	0.27564579	---	---
TC1700010548.hg.1	1.04e-01	1.79e-02	-2.8404292	-3.968744	-0.3198266	Multiple_Complex	Multiple_Complex
TC2200006832.hg.1	1.04e-01	1.79e-02	-2.8403277	-3.968916	-0.38019504	Multiple_Complex	Multiple_Complex
TC2200006681.hg.1	1.04e-01	1.79e-02	-2.8402283	-3.969085	-0.24957261	Multiple_Complex	Multiple_Complex
TC0600009059.hg.1	1.04e-01	1.79e-02	2.8401373	-3.969239	0.32175629	Multiple_Complex	Multiple_Complex
TC1200008041.hg.1	1.04e-01	1.80e-02	2.8392958	-3.970667	0.37692709	Multiple_Complex	Multiple_Complex
TC1900009795.hg.1	1.04e-01	1.80e-02	2.8388437	-3.971434	0.36388894	Multiple_Complex	Multiple_Complex
TC0900010470.hg.1	1.04e-01	1.80e-02	2.8379879	-3.972886	0.51548826	Multiple_Complex	Multiple_Complex
23076584	1.04e-01	1.80e-02	2.8378257	-3.973161	0.37628403		
TSUnmapped00000766.hg.1	1.04e-01	1.80e-02	2.8369807	-3.974595	0.47563259	NonCoding	NonCoding
HTA2-pos-PSR01028941.hg.1	1.04e-01	1.81e-02	2.8367931	-3.974913	0.30623074	---	---
TC1200012159.hg.1	1.05e-01	1.81e-02	2.8352955	-3.977454	0.40781082	Multiple_Complex	Multiple_Complex
23072075	1.05e-01	1.81e-02	2.8345416	-3.978733	0.32014398		
TC0300006483.hg.1	1.05e-01	1.81e-02	-2.8344309	-3.978921	-0.34490114	Multiple_Complex	Multiple_Complex
TC1700012199.hg.1	1.05e-01	1.81e-02	2.8339577	-3.979723	0.83509354	NonCoding	NonCoding
TC0200010419.hg.1	1.05e-01	1.81e-02	-2.8336945	-3.98017	-0.4864094	Multiple_Complex	Multiple_Complex
23064109	1.05e-01	1.82e-02	2.8334607	-3.980566	0.45665552		
HTA2-pos-3475650_st	1.05e-01	1.82e-02	-2.8330437	-3.981274	-0.28385519	---	---
TC0100013712.hg.1	1.05e-01	1.82e-02	-2.8329938	-3.981358	-0.67455449	Multiple_Complex	Multiple_Complex
TC1100009967.hg.1	1.05e-01	1.82e-02	-2.8327024	-3.981853	-0.38673238	Multiple_Complex	Multiple_Complex
TC0800011249.hg.1	1.05e-01	1.82e-02	-2.8324913	-3.982211	-0.28603359	Multiple_Complex	Multiple_Complex
TC1900006865.hg.1	1.05e-01	1.82e-02	2.8304754	-3.985631	0.36767261	Multiple_Complex	Multiple_Complex
TC0500012567.hg.1	1.05e-01	1.83e-02	-2.8303189	-3.985896	-0.36650699	Multiple_Complex	Multiple_Complex
TC0100008078.hg.1	1.05e-01	1.83e-02	2.8302785	-3.985965	0.35454138	Multiple_Complex	Multiple_Complex
TC0100017815.hg.1	1.05e-01	1.83e-02	2.8298343	-3.986718	0.24164834	Multiple_Complex	Multiple_Complex
TC1700007907.hg.1	1.05e-01	1.83e-02	-2.8293045	-3.987617	-0.23512328	Multiple_Complex	Multiple_Complex
TC1500006951.hg.1	1.05e-01	1.83e-02	-2.8290733	-3.988009	-0.2687421	Multiple_Complex	Multiple_Complex
TC1800007984.hg.1	1.05e-01	1.83e-02	2.8289544	-3.98821	0.32920798	Multiple_Complex	Multiple_Complex
TC0200016345.hg.1	1.06e-01	1.83e-02	2.8275622	-3.990572	0.38771843	Multiple_Complex	Multiple_Complex
TC0300013795.hg.1	1.06e-01	1.83e-02	-2.8272912	-3.991031	-0.29236006	Multiple_Complex	Multiple_Complex
TC1100013075.hg.1	1.06e-01	1.83e-02	-2.827172	-3.991234	-0.27215578	Multiple_Complex	Multiple_Complex
TC1700006627.hg.1	1.06e-01	1.83e-02	-2.8271664	-3.991243	-0.49168525	Multiple_Complex	Multiple_Complex
TC1700008080.hg.1	1.06e-01	1.84e-02	-2.8268651	-3.991754	-0.49098645	Coding	Coding
HTA2-pos-PSR12032710.hg.1	1.06e-01	1.84e-02	2.8267119	-3.992014	0.25123391	---	---
TC1100013134.hg.1	1.06e-01	1.84e-02	-2.8266355	-3.992144	-0.27431557	Multiple_Complex	Multiple_Complex
TC0800007185.hg.1	1.06e-01	1.84e-02	-2.8263493	-3.992629	-0.33703398	Multiple_Complex	Multiple_Complex
TC0400007556.hg.1	1.06e-01	1.84e-02	-2.8258461	-3.993482	-0.27833354	Multiple_Complex	Multiple_Complex
TC0400007784.hg.1	1.06e-01	1.84e-02	2.825756	-3.993635	0.33216453	Coding	Coding
TC0900009740.hg.1	1.06e-01	1.84e-02	2.8257086	-3.993716	0.35768493	Multiple_Complex	Multiple_Complex
TC0200016742.hg.1	1.06e-01	1.84e-02	-2.8255594	-3.993969	-0.38011564	Multiple_Complex	Multiple_Complex
TC0300013968.hg.1	1.06e-01	1.84e-02	2.8250999	-3.994748	0.46976919	Multiple_Complex	Multiple_Complex
TC1000008482.hg.1	1.06e-01	1.84e-02	-2.8248762	-3.995127	-0.34164662	Multiple_Complex	Multiple_Complex
TC1100012418.hg.1	1.06e-01	1.85e-02	-2.8236317	-3.997238	-0.52249771	Multiple_Complex	Multiple_Complex
TC1900006999.hg.1	1.06e-01	1.85e-02	2.8235785	-3.997328	0.39396806	Unassigned	Unassigned
TC1600009580.hg.1	1.06e-01	1.85e-02	2.8222894	-3.999514	0.57954798	Multiple_Complex	Multiple_Complex
TC0100006682.hg.1	1.06e-01	1.85e-02	-2.8221147	-3.99981	-0.59626112	Multiple_Complex	Multiple_Complex
TC1000008961.hg.1	1.06e-01	1.85e-02	-2.8219728	-4.000051	-0.26966042	Multiple_Complex	Multiple_Complex
TC0800009237.hg.1	1.06e-01	1.85e-02	-2.8219446	-4.000099	-0.269493	Multiple_Complex	Multiple_Complex
TC1900006893.hg.1	1.06e-01	1.85e-02	2.8212897	-4.001209	0.24109698	Multiple_Complex	Multiple_Complex
TC1400006522.hg.1	1.06e-01	1.85e-02	2.8207615	-4.002105	0.35841285	Coding	Coding
TC1200011599.hg.1	1.06e-01	1.86e-02	2.8204531	-4.002628	0.24519509	Multiple_Complex	Multiple_Complex
TC0600013001.hg.1	1.06e-01	1.86e-02	-2.8196063	-4.004064	-0.2928075	Multiple_Complex	Multiple_Complex
TC0300006677.hg.1	1.06e-01	1.86e-02	-2.8194946	-4.004253	-0.33939726	Multiple_Complex	Multiple_Complex
TC0200008092.hg.1	1.07e-01	1.86e-02	-2.819306	-4.004573	-0.38994799	Multiple_Complex	Multiple_Complex
TC1900011549.hg.1	1.07e-01	1.86e-02	2.8190944	-4.004932	0.37042878	Multiple_Complex	Multiple_Complex
TC0700009493.hg.1	1.07e-01	1.86e-02	-2.819025	-4.00505	-0.32003959	Multiple_Complex	Multiple_Complex
TC2200008465.hg.1	1.07e-01	1.86e-02	-2.8188155	-4.005405	-0.46679393	Multiple_Complex	Multiple_Complex
TC0500012826.hg.1	1.07e-01	1.86e-02	2.8187938	-4.005442	0.35359472	Multiple_Complex	Multiple_Complex
TC0700007157.hg.1	1.07e-01	1.86e-02	2.8177911	-4.007142	0.2839039	Multiple_Complex	Multiple_Complex
TC0X00006715.hg.1	1.07e-01	1.86e-02	-2.8176766	-4.007336	-0.40511441	Multiple_Complex	Multiple_Complex
TC1900011804.hg.1	1.07e-01	1.86e-02	2.8176041	-4.007459	0.34779252	Multiple_Complex	Multiple_Complex
TC0X00009185.hg.1	1.07e-01	1.87e-02	2.8170269	-4.008438	0.34139825	Multiple_Complex	Multiple_Complex
TC0700012131.hg.1	1.07e-01	1.87e-02	2.8167455	-4.008915	0.24857651	Multiple_Complex	Multiple_Complex
TC1100011299.hg.1	1.07e-01	1.87e-02	2.8158963	-4.010354	0.27028531	Multiple_Complex	Multiple_Complex
TC0200014085.hg.1	1.07e-01	1.87e-02	-2.8157625	-4.010581	-0.3825612	Multiple_Complex	Multiple_Complex
TC0300013842.hg.1	1.07e-01	1.87e-02	-2.815743	-4.010614	-0.38085381	Multiple_Complex	Multiple_Complex
TC1200008213.hg.1	1.07e-01	1.87e-02	2.8154077	-4.011183	0.3087655	Multiple_Complex	Multiple_Complex
TC0600014269.hg.1	1.07e-01	1.87e-02	-2.8154056	-4.011186	-0.41944224	Multiple_Complex	Multiple_Complex
TC1600008973.hg.1	1.07e-01	1.87e-02	-2.8151566	-4.011609	-0.30062709	Multiple_Complex	Multiple_Complex
TC1100010271.hg.1	1.07e-01	1.87e-02	-2.8144537	-4.0128	-0.23675205	Multiple_Complex	Multiple_Complex
23075526	1.07e-01	1.87e-02	2.8144425	-4.012819	0.28876906		
23075637	1.07e-01	1.87e-02	2.8144425	-4.012819	0.28876906		
23075809	1.07e-01	1.87e-02	2.8144425	-4.012819	0.28876906		
23076270	1.07e-01	1.87e-02	2.8144425	-4.012819	0.28876906		
TC0500013229.hg.1	1.07e-01	1.88e-02	-2.8143244	-4.013019	-0.31784844	Multiple_Complex	Multiple_Complex
TC1900011655.hg.1	1.07e-01	1.88e-02	2.8140808	-4.013433	0.28757898	Multiple_Complex	Multiple_Complex
23075437	1.07e-01	1.88e-02	2.8134905	-4.014433	0.48893279		
TC0100008927.hg.1	1.07e-01	1.88e-02	-2.8123176	-4.016422	-0.26177001	Multiple_Complex	Multiple_Complex
TC1100007554.hg.1	1.07e-01	1.88e-02	2.8119879	-4.016981	0.31584538	Coding	Coding
TC1000009170.hg.1	1.07e-01	1.88e-02	2.8119177	-4.0171	0.5749931	Coding	Coding
TC0200015831.hg.1	1.07e-01	1.88e-02	2.8118348	-4.01724	0.38251684	Multiple_Complex	Multiple_Complex
TC0Y00006433.hg.1	1.07e-01	1.88e-02	-2.811392	-4.017991	-0.4348803	Multiple_Complex	Multiple_Complex
TC1700012215.hg.1	1.07e-01	1.89e-02	-2.8112042	-4.018309	-0.30602275	Multiple_Complex	Multiple_Complex
TC1400007478.hg.1	1.07e-01	1.89e-02	2.8109877	-4.018676	0.29871	Multiple_Complex	Multiple_Complex
TC0700012044.hg.1	1.07e-01	1.89e-02	2.8103424	-4.01977	0.34923871	Multiple_Complex	Multiple_Complex
HTA2-pos-PSR12012230.hg.1	1.07e-01	1.89e-02	2.8098995	-4.020521	0.26084848	---	---
TC1900006578.hg.1	1.07e-01	1.89e-02	-2.8094356	-4.021307	-0.26098207	Multiple_Complex	Multiple_Complex
23075742	1.07e-01	1.89e-02	2.8090311	-4.021993	0.58853033		
23075906	1.07e-01	1.89e-02	2.8090311	-4.021993	0.58853033		
23076046	1.07e-01	1.89e-02	2.8090311	-4.021993	0.58853033		
23076205	1.07e-01	1.89e-02	2.8090311	-4.021993	0.58853033		
23076370	1.07e-01	1.89e-02	2.8090311	-4.021993	0.58853033		
23076517	1.07e-01	1.89e-02	2.8090311	-4.021993	0.58853033		
TC1900011852.hg.1	1.07e-01	1.89e-02	2.8087944	-4.022394	0.37778828	Multiple_Complex	Multiple_Complex
TC1500006969.hg.1	1.07e-01	1.89e-02	2.8087442	-4.022479	0.36424144	Multiple_Complex	Multiple_Complex
TC0100014755.hg.1	1.08e-01	1.89e-02	2.8081945	-4.023411	0.2587442	Multiple_Complex	Multiple_Complex
HTA2-pos-2839528_st	1.08e-01	1.90e-02	2.8075242	-4.024547	0.28504479	---	---
TC1300006676.hg.1	1.08e-01	1.90e-02	-2.8073305	-4.024875	-0.30880995	Multiple_Complex	Multiple_Complex
TC0900011708.hg.1	1.08e-01	1.90e-02	-2.8068871	-4.025627	-0.48429435	Multiple_Complex	Multiple_Complex
TC0500010169.hg.1	1.08e-01	1.90e-02	-2.8060415	-4.02706	-0.33830177	Multiple_Complex	Multiple_Complex
TC1100012140.hg.1	1.08e-01	1.90e-02	-2.8058536	-4.027378	-0.22002186	Multiple_Complex	Multiple_Complex
TC2100007140.hg.1	1.08e-01	1.91e-02	-2.8049284	-4.028947	-0.25485942	Multiple_Complex	Multiple_Complex
TC1900011891.hg.1	1.08e-01	1.91e-02	2.8041817	-4.030212	0.5560335	Multiple_Complex	Multiple_Complex
23070145	1.08e-01	1.91e-02	2.8036803	-4.031062	0.30806839		
TC1200011914.hg.1	1.08e-01	1.91e-02	-2.8035414	-4.031297	-0.54720946	Multiple_Complex	Multiple_Complex
TC0100018285.hg.1	1.08e-01	1.91e-02	-2.8034776	-4.031405	-0.29751618	Coding	Coding
TSUnmapped00000190.hg.1	1.08e-01	1.91e-02	2.8033092	-4.031691	0.47643104	Coding	Coding
TC0800006866.hg.1	1.08e-01	1.91e-02	-2.8022787	-4.033437	-0.29470484	Multiple_Complex	Multiple_Complex
TC1900008470.hg.1	1.08e-01	1.91e-02	-2.8020043	-4.033902	-0.4218047	Multiple_Complex	Multiple_Complex
TC1900011762.hg.1	1.08e-01	1.92e-02	2.8018093	-4.034233	0.39425382	Multiple_Complex	Multiple_Complex
TC0400010750.hg.1	1.08e-01	1.92e-02	-2.8017824	-4.034278	-0.37697224	Multiple_Complex	Multiple_Complex
TC0X00007200.hg.1	1.08e-01	1.92e-02	-2.8014011	-4.034924	-0.27767595	Multiple_Complex	Multiple_Complex
TC1200007714.hg.1	1.08e-01	1.92e-02	-2.8011602	-4.035332	-0.36915973	Multiple_Complex	Multiple_Complex
TC1500008343.hg.1	1.09e-01	1.92e-02	2.8007882	-4.035963	0.31293231	Multiple_Complex	Multiple_Complex
HTA2-pos-PSR0X005150.hg.1	1.09e-01	1.92e-02	2.8005979	-4.036285	0.22684991	---	---
TC0100015810.hg.1	1.09e-01	1.92e-02	-2.7992279	-4.038607	-0.21785828	Multiple_Complex	Multiple_Complex
TC1100010105.hg.1	1.09e-01	1.92e-02	2.7990839	-4.038851	0.45153354	Multiple_Complex	Multiple_Complex
TC1100012165.hg.1	1.09e-01	1.93e-02	-2.7988875	-4.039184	-0.31345015	Multiple_Complex	Multiple_Complex
TC0500011935.hg.1	1.09e-01	1.93e-02	2.7987684	-4.039385	0.39150519	Multiple_Complex	Multiple_Complex
TC0300008242.hg.1	1.09e-01	1.93e-02	-2.7984286	-4.039961	-0.37010416	Multiple_Complex	Multiple_Complex
TC1000008731.hg.1	1.09e-01	1.93e-02	2.7983866	-4.040032	0.34549334	Multiple_Complex	Multiple_Complex
TC1200011985.hg.1	1.09e-01	1.93e-02	2.7982529	-4.040259	0.27458381	Multiple_Complex	Multiple_Complex
23068523	1.09e-01	1.93e-02	2.7982286	-4.0403	0.40038105		
HTA2-pos-PSR04018320.hg.1	1.09e-01	1.93e-02	2.7979571	-4.04076	0.41588338	---	---
TC0600007664.hg.1	1.09e-01	1.93e-02	2.7976385	-4.0413	0.41146347	Coding	Coding
TC0100012319.hg.1	1.09e-01	1.93e-02	2.7972411	-4.041973	0.32647553	Coding	Coding
TC1500009088.hg.1	1.09e-01	1.93e-02	-2.7971299	-4.042162	-0.29979756	Multiple_Complex	Multiple_Complex
TC1600011058.hg.1	1.09e-01	1.94e-02	-2.7958327	-4.044359	-0.42879301	Multiple_Complex	Multiple_Complex
TC1200010753.hg.1	1.09e-01	1.94e-02	-2.7955387	-4.044858	-0.38191022	Coding	Coding
TC0200010840.hg.1	1.09e-01	1.94e-02	2.7954434	-4.045019	0.27001624	Multiple_Complex	Multiple_Complex
TC1900006610.hg.1	1.09e-01	1.94e-02	-2.7953774	-4.045131	-0.58823863	Multiple_Complex	Multiple_Complex
TC0500009250.hg.1	1.09e-01	1.94e-02	-2.7953342	-4.045204	-0.26227044	Multiple_Complex	Multiple_Complex
TC1600011043.hg.1	1.09e-01	1.94e-02	2.794678	-4.046316	0.34962703	Multiple_Complex	Multiple_Complex
HTA2-pos-PSR01009073.hg.1	1.09e-01	1.94e-02	-2.7946676	-4.046333	-0.22868247	---	---
HTA2-pos-PSR16021739.hg.1	1.09e-01	1.94e-02	2.7945203	-4.046583	0.2833981	---	---
23076017	1.09e-01	1.94e-02	2.7943978	-4.04679	0.31260205		
23076334	1.09e-01	1.94e-02	2.7943978	-4.04679	0.31260205		
TC0600011139.hg.1	1.09e-01	1.94e-02	2.7943145	-4.046932	0.29622165	Coding	Coding
TC1400008921.hg.1	1.09e-01	1.94e-02	2.7936039	-4.048135	0.33686533	Multiple_Complex	Multiple_Complex
TC0300014048.hg.1	1.09e-01	1.95e-02	2.792676	-4.049707	0.34120795	Multiple_Complex	Multiple_Complex
TC0900012124.hg.1	1.09e-01	1.95e-02	2.7923085	-4.05033	0.26228518	Multiple_Complex	Multiple_Complex
23071946	1.09e-01	1.95e-02	2.7922001	-4.050514	0.33510908		
23075749	1.09e-01	1.95e-02	-2.7920393	-4.050786	-0.38755213		
23075913	1.09e-01	1.95e-02	-2.7920393	-4.050786	-0.38755213		
23076212	1.09e-01	1.95e-02	-2.7920393	-4.050786	-0.38755213		
TC1900010221.hg.1	1.09e-01	1.95e-02	2.7917233	-4.051321	0.25118896	Multiple_Complex	Multiple_Complex
TC0200012374.hg.1	1.09e-01	1.95e-02	-2.7915758	-4.051571	-0.54117201	Coding	Coding
TC1200007810.hg.1	1.09e-01	1.95e-02	-2.7915437	-4.051626	-0.33840919	Multiple_Complex	Multiple_Complex
TC1900010502.hg.1	1.09e-01	1.95e-02	-2.7914049	-4.051861	-0.48310219	Multiple_Complex	Multiple_Complex
TC0200006647.hg.1	1.09e-01	1.95e-02	2.7912919	-4.052052	0.26637517	Multiple_Complex	Multiple_Complex
TC0100018315.hg.1	1.09e-01	1.95e-02	2.7911656	-4.052266	0.23460807	Multiple_Complex	Multiple_Complex
HTA2-pos-PSR12027058.hg.1	1.10e-01	1.95e-02	2.790435	-4.053504	0.24794769	---	---
TC0400008666.hg.1	1.10e-01	1.95e-02	-2.790203	-4.053897	-0.26620885	Multiple_Complex	Multiple_Complex
HTA2-pos-PSR01001873.hg.1	1.10e-01	1.95e-02	2.7901433	-4.053998	0.23909796	---	---
TC1000007471.hg.1	1.10e-01	1.96e-02	2.7891595	-4.055664	0.44532743	Multiple_Complex	Multiple_Complex
TC1400008118.hg.1	1.10e-01	1.96e-02	2.7885038	-4.056775	0.38930076	Multiple_Complex	Multiple_Complex
TC0400012126.hg.1	1.10e-01	1.96e-02	2.7884886	-4.056801	0.26960447	Multiple_Complex	Multiple_Complex
TC0900010792.hg.1	1.10e-01	1.96e-02	2.7883316	-4.057067	0.24179692	Multiple_Complex	Multiple_Complex
TC0100011812.hg.1	1.10e-01	1.96e-02	2.7883041	-4.057113	0.39671096	Multiple_Complex	Multiple_Complex
TC0600010962.hg.1	1.10e-01	1.96e-02	2.7881716	-4.057337	0.2644871	Multiple_Complex	Multiple_Complex
TC1600008646.hg.1	1.10e-01	1.96e-02	2.7874382	-4.05858	0.43335495	Multiple_Complex	Multiple_Complex
TC0300013864.hg.1	1.10e-01	1.96e-02	2.7869634	-4.059384	0.29404766	Multiple_Complex	Multiple_Complex
TC0500011435.hg.1	1.10e-01	1.97e-02	-2.7860737	-4.060891	-0.34663627	Multiple_Complex	Multiple_Complex
TC1600010334.hg.1	1.10e-01	1.97e-02	2.7857233	-4.061484	0.34629389	Multiple_Complex	Multiple_Complex
TC0400010251.hg.1	1.10e-01	1.97e-02	2.7856084	-4.061679	0.26871465	Multiple_Complex	Multiple_Complex
TC0300007410.hg.1	1.10e-01	1.97e-02	-2.7852666	-4.062258	-0.28028791	Multiple_Complex	Multiple_Complex
TC1800007187.hg.1	1.10e-01	1.97e-02	-2.7849782	-4.062746	-0.35492235	NonCoding	NonCoding
TC0400008624.hg.1	1.10e-01	1.97e-02	2.7848764	-4.062918	0.46015798	Unassigned	Unassigned
TC0200015529.hg.1	1.10e-01	1.97e-02	2.7846791	-4.063253	0.37775006	Multiple_Complex	Multiple_Complex
TC1900011379.hg.1	1.10e-01	1.97e-02	-2.7839747	-4.064446	-1.27055314	Multiple_Complex	Multiple_Complex
TC0400008641.hg.1	1.10e-01	1.98e-02	-2.7837388	-4.064845	-0.60841029	Multiple_Complex	Multiple_Complex
23072515	1.10e-01	1.98e-02	2.7836056	-4.065071	0.23757263		
TC1900011994.hg.1	1.11e-01	1.98e-02	-2.7828379	-4.066371	-0.39837342	Coding	Coding
TC0100016470.hg.1	1.11e-01	1.98e-02	-2.7828209	-4.0664	-0.3032539	Multiple_Complex	Multiple_Complex
TC1700009385.hg.1	1.11e-01	1.98e-02	-2.7824197	-4.067079	-0.27667842	Multiple_Complex	Multiple_Complex
TC1700008151.hg.1	1.11e-01	1.98e-02	-2.7821604	-4.067518	-0.23424507	Multiple_Complex	Multiple_Complex
TC0100009929.hg.1	1.11e-01	1.98e-02	2.7820025	-4.067785	0.28494669	Multiple_Complex	Multiple_Complex
TC1700010408.hg.1	1.11e-01	1.98e-02	2.7815503	-4.068551	0.33171559	Multiple_Complex	Multiple_Complex
TC0100018463.hg.1	1.11e-01	1.98e-02	-2.7813661	-4.068863	-0.27541621	Multiple_Complex	Multiple_Complex
TC0200006536.hg.1	1.11e-01	1.98e-02	2.7813268	-4.06893	0.23085624	Multiple_Complex	Multiple_Complex
HTA2-pos-2909181_st	1.11e-01	1.98e-02	-2.7812404	-4.069076	-0.69139321	---	---
TC1500006962.hg.1	1.11e-01	1.98e-02	2.7811595	-4.069213	0.35644644	Multiple_Complex	Multiple_Complex
TC0100013534.hg.1	1.11e-01	1.98e-02	-2.7808379	-4.069757	-0.42230697	Multiple_Complex	Multiple_Complex
TC1900008535.hg.1	1.11e-01	1.98e-02	-2.7808294	-4.069772	-0.44111622	Coding	Coding
TC0700011835.hg.1	1.11e-01	1.99e-02	2.7804469	-4.070419	0.35948571	Multiple_Complex	Multiple_Complex
TC2200007320.hg.1	1.11e-01	1.99e-02	2.7804212	-4.070463	0.31528447	Coding	Coding
TC1900010158.hg.1	1.11e-01	1.99e-02	2.7802722	-4.070715	0.34059138	Multiple_Complex	Multiple_Complex
HTA2-pos-3662440_st	1.11e-01	1.99e-02	2.7789731	-4.072915	0.28250157	---	---
TC0100014937.hg.1	1.11e-01	1.99e-02	-2.7787342	-4.07332	-0.55779373	Coding	Coding
TC0500007780.hg.1	1.11e-01	1.99e-02	-2.7783259	-4.074011	-0.51093585	Multiple_Complex	Multiple_Complex
TC0100018146.hg.1	1.11e-01	1.99e-02	2.778043	-4.07449	0.2437827	Multiple_Complex	Multiple_Complex
TC1100008955.hg.1	1.11e-01	2.00e-02	2.7772897	-4.075765	0.25721878	Multiple_Complex	Multiple_Complex
TC0900009458.hg.1	1.11e-01	2.00e-02	2.7770289	-4.076207	0.29920347	Multiple_Complex	Multiple_Complex
TSUnmapped00000397.hg.1	1.11e-01	2.00e-02	2.777019	-4.076224	0.25946896	Coding	Coding
TC0X00007532.hg.1	1.11e-01	2.00e-02	2.7767451	-4.076687	0.48351002	Multiple_Complex	Multiple_Complex
TC1000011501.hg.1	1.11e-01	2.00e-02	2.7765924	-4.076946	0.27355049	Multiple_Complex	Multiple_Complex
TC1600011263.hg.1	1.11e-01	2.00e-02	-2.7762346	-4.077552	-0.26521627	Multiple_Complex	Multiple_Complex
TC0100016068.hg.1	1.11e-01	2.00e-02	2.7761192	-4.077747	0.75397113	Coding	Coding
TC0200016414.hg.1	1.11e-01	2.00e-02	-2.775482	-4.078826	-0.44900781	Multiple_Complex	Multiple_Complex
TC1600008189.hg.1	1.11e-01	2.00e-02	-2.7751649	-4.079362	-0.29169062	Multiple_Complex	Multiple_Complex
TC0100015761.hg.1	1.11e-01	2.00e-02	-2.7749219	-4.079774	-0.26165991	Multiple_Complex	Multiple_Complex
TC0500011804.hg.1	1.11e-01	2.01e-02	-2.7745261	-4.080444	-0.51112661	Multiple_Complex	Multiple_Complex
